type_Ghost_PREDICTION,type_Ghoul_PREDICTION,type_Goblin_PREDICTION,type_PREDICTION
0.0728247315,0.7662412524,0.1609339565,Ghoul
0.185819447,0.354259491,0.459921062,Goblin
0.0864047781,0.4859620035,0.4276331961,Ghoul
0.399014622,0.3082142174,0.2927711904,Ghost
0.8100029826,0.0858510286,0.1041459367,Ghost
0.782579422,0.0910190567,0.1264015585,Ghost
0.1121043339,0.4707800746,0.4171155691,Ghoul
0.0958962664,0.4386875927,0.4654161632,Goblin
0.2415540218,0.2225999087,0.5358460546,Goblin
0.0827547461,0.5034831166,0.4137621224,Ghoul
0.7307050824,0.0918800533,0.1774148941,Ghost
0.1137346402,0.6954885125,0.1907768548,Ghoul
0.3381831944,0.3090948462,0.3527219594,Goblin
0.6333140135,0.1262907833,0.2403951436,Ghost
0.0632822588,0.5817191005,0.3549986482,Ghoul
0.6682785749,0.1614589244,0.1702625453,Ghost
0.1400194913,0.4945828021,0.3653977215,Ghoul
0.7922766209,0.0860572532,0.1216661483,Ghost
0.6991717219,0.1544998884,0.1463283747,Ghost
0.1027772576,0.6837377548,0.2134850025,Ghoul
0.1150939986,0.6345613599,0.2503446937,Ghoul
0.1227241084,0.3405896127,0.5366862416,Goblin
0.114266485,0.4487865269,0.4369470477,Ghoul
0.2803408504,0.169874385,0.5497847795,Goblin
0.1614716202,0.3886564076,0.4498719871,Goblin
0.1261204779,0.2125308663,0.6613486409,Goblin
0.0695636719,0.6894566417,0.2409797013,Ghoul
0.1422617137,0.2666231394,0.5911151767,Goblin
0.2011035383,0.6704451442,0.1284513026,Ghoul
0.1116501912,0.5402374268,0.3481123447,Ghoul
0.1205421239,0.387988776,0.4914690554,Goblin
0.0890927836,0.5398437381,0.3710634708,Ghoul
0.0873196945,0.7555531263,0.1571271271,Ghoul
0.101116471,0.2276284546,0.6712550521,Goblin
0.1637407541,0.2689154148,0.5673438907,Goblin
0.0687012002,0.8019592762,0.1293395162,Ghoul
0.4391440153,0.1365464926,0.4243094623,Ghost
0.125996992,0.4106230438,0.4633799493,Goblin
0.6334148645,0.1588151455,0.2077700198,Ghost
0.0944970548,0.6212333441,0.2842695713,Ghoul
0.3096579909,0.1306922734,0.5596497059,Goblin
0.0996165052,0.4994331598,0.4009503126,Ghoul
0.0931410342,0.2593346834,0.6475242376,Goblin
0.1466581076,0.410882622,0.4424592555,Goblin
0.3719656169,0.0973261967,0.5307081938,Goblin
0.1080094054,0.4969970882,0.3949935436,Ghoul
0.0907826647,0.731423676,0.1777936518,Ghoul
0.1014455631,0.7209413052,0.1776131243,Ghoul
0.0954158008,0.7424014807,0.1621827036,Ghoul
0.2922433019,0.1616927385,0.5460639596,Goblin
0.1132897213,0.3446443677,0.5420659184,Goblin
0.2238345295,0.3294423521,0.4467231333,Goblin
0.8898952007,0.0483673066,0.0617374703,Ghost
0.2029785365,0.1904340833,0.6065873504,Goblin
0.2066063434,0.1380793452,0.6553143263,Goblin
0.7884920239,0.0604849569,0.1510230452,Ghost
0.1381719857,0.166246146,0.6955818534,Goblin
0.1684209108,0.3662000299,0.4653790891,Goblin
0.074367784,0.7374880314,0.1881441623,Ghoul
0.7531456947,0.120794639,0.126059711,Ghost
0.195126459,0.4443632662,0.3605102301,Ghoul
0.0790885687,0.6797896028,0.2411218435,Ghoul
0.6322920918,0.1159541234,0.2517537475,Ghost
0.1758106053,0.2543248236,0.5698645711,Goblin
0.085337095,0.5367130041,0.3779499233,Ghoul
0.1695384085,0.4739186764,0.3565429449,Ghoul
0.0838542059,0.69870013,0.2174456418,Ghoul
0.1497469693,0.661595583,0.1886574477,Ghoul
0.5415303111,0.1809578985,0.2775118351,Ghost
0.1399815083,0.5781818628,0.2818366289,Ghoul
0.431289345,0.162274152,0.4064365327,Ghost
0.4218603075,0.2567401826,0.3213995695,Ghost
0.1291125268,0.4145928025,0.456294626,Goblin
0.1259368211,0.5588831306,0.3151800334,Ghoul
0.1216949373,0.4068053067,0.4714997113,Goblin
0.1172691658,0.4403159916,0.4424148798,Goblin
0.1070018038,0.3307926059,0.5622055531,Goblin
0.0923008546,0.3876948357,0.5200042725,Goblin
0.6999869943,0.1002092361,0.1998037547,Ghost
0.2114408612,0.1354411095,0.6531180739,Goblin
0.5281381607,0.0805586204,0.3913032115,Ghost
0.0849656314,0.2568008006,0.6582335234,Goblin
0.0971142054,0.5704709888,0.3324148059,Ghoul
0.091383256,0.6044611335,0.304155618,Ghoul
0.6559729576,0.0861841515,0.2578428686,Ghost
0.8160640001,0.070346944,0.1135890558,Ghost
0.721090138,0.0979000703,0.1810098141,Ghost
0.1773377657,0.1639833748,0.6586788893,Goblin
0.8144039512,0.0660961568,0.1194999665,Ghost
0.7637830377,0.0747915879,0.161425367,Ghost
0.8230793476,0.0673521981,0.1095684543,Ghost
0.8047103286,0.0966951251,0.0985945538,Ghost
0.1058550552,0.3476978838,0.5464470983,Goblin
0.6029682159,0.1239946038,0.2730371952,Ghost
0.8366352916,0.0594490096,0.1039156914,Ghost
0.6823641062,0.0734633058,0.2441725433,Ghost
0.384724468,0.1268339604,0.4884415269,Goblin
0.3177078366,0.146264255,0.5360279083,Goblin
0.0794469416,0.37346071,0.5470923781,Goblin
0.3196936846,0.1034841016,0.5768222213,Goblin
0.1104388386,0.3524383008,0.5371228456,Goblin
0.158556059,0.2157828361,0.6256610751,Goblin
0.1189444363,0.3996005058,0.4814550579,Goblin
0.4469573796,0.2066908926,0.3463517129,Ghost
0.172650069,0.7036215067,0.1237284467,Ghoul
0.0933699012,0.5361912251,0.370438844,Ghoul
0.0875203162,0.513425231,0.3990544677,Ghoul
0.2696464062,0.2535700202,0.4767835438,Goblin
0.0837088674,0.7489837408,0.1673074365,Ghoul
0.0976842642,0.4915447831,0.4107708931,Ghoul
0.6167965531,0.1157645807,0.2674389184,Ghost
