type_Ghost_PREDICTION,type_Ghoul_PREDICTION,type_Goblin_PREDICTION,type_PREDICTION
0.0,0.9768596746,0.0231403254,Ghoul
0.0536362386,0.329343622,0.6170201394,Goblin
0.0005454545,0.7207695104,0.278685035,Ghoul
0.4829579746,0.2077701622,0.3092718633,Ghost
0.9117078902,0.0,0.0882921098,Ghost
0.950162782,0.0325,0.017337218,Ghost
0.0,0.7116159783,0.2883840217,Ghoul
0.0,0.5841498752,0.4158501248,Ghoul
0.1189060581,0.264610213,0.6164837289,Goblin
0.0005454545,0.7865866817,0.2128678638,Ghoul
0.9169400895,0.0022857143,0.0807741962,Ghost
0.0025568182,0.821788378,0.1756548038,Ghoul
0.4329981391,0.2362327561,0.3307691048,Ghost
0.5906876199,0.0565757246,0.3527366555,Ghost
0.0006315789,0.7606858182,0.2386826028,Ghoul
0.830690593,0.0018,0.167509407,Ghost
0.0003076923,0.3946120464,0.6050802613,Goblin
0.947562782,0.0325,0.019937218,Ghost
0.9061514362,0.0,0.0938485638,Ghost
0.003375,0.8243225661,0.1723024339,Ghoul
0.0058068182,0.7711976679,0.2229955139,Ghoul
0.0003076923,0.3781589295,0.6215333782,Goblin
0.0,0.511810064,0.488189936,Ghoul
0.4694109072,0.0244802077,0.5061088851,Goblin
0.0001111111,0.4208688207,0.5790200682,Goblin
0.0025614035,0.2410399572,0.7563986393,Goblin
0.0025568182,0.7731199401,0.2243232417,Ghoul
0.0136954339,0.2864712446,0.6998333215,Goblin
0.01075,0.8802113945,0.1090386055,Ghoul
0.0005454545,0.8443177227,0.1551368228,Ghoul
0.0004705882,0.3499330131,0.6495963986,Goblin
0.0006315789,0.7695771442,0.2297912768,Ghoul
0.00465,0.9084878651,0.0868621349,Ghoul
0.007481076,0.2659578764,0.7265610477,Goblin
0.0031182186,0.2205878842,0.7762938972,Goblin
0.0075,0.9052593083,0.0872406917,Ghoul
0.4824333138,0.0312927638,0.4862739223,Goblin
0.0012530058,0.2942885153,0.7044584789,Goblin
0.9280343419,0.0,0.0719656581,Ghost
0.0006315789,0.7553321929,0.2440362282,Ghoul
0.323010875,0.0698062492,0.6071828758,Goblin
0.0027272727,0.6671998854,0.3300728419,Ghoul
0.0055985552,0.3314990975,0.6629023473,Goblin
0.0007272727,0.6728279309,0.3264447963,Ghoul
0.4708423661,0.0481728716,0.4809847623,Goblin
0.0007272727,0.6728279309,0.3264447963,Ghoul
0.0011428571,0.9617344161,0.0371227268,Ghoul
0.003375,0.8217661558,0.1748588442,Ghoul
0.0,0.9938210526,0.0061789474,Ghoul
0.3021210732,0.0652957632,0.6325831636,Goblin
0.0025614035,0.2385802128,0.7588583837,Goblin
0.002731524,0.1962190757,0.8010494003,Goblin
1.0,0.0,0.0,Ghost
0.1085661432,0.2616810762,0.6297527806,Goblin
0.1092160677,0.2728740413,0.617909891,Goblin
0.975762782,0.0006,0.023637218,Ghost
0.0897978095,0.234183251,0.6760189395,Goblin
0.005246509,0.5536364138,0.4411170772,Ghoul
0.0,0.9849673669,0.0150326331,Ghoul
0.9041411996,0.0,0.0958588004,Ghost
0.0013815789,0.584699794,0.413918627,Ghoul
0.0,0.9713708625,0.0286291375,Ghoul
0.6593495839,0.042128296,0.29852212,Ghost
0.1105334724,0.2995334036,0.589933124,Goblin
0.0005454545,0.8206483979,0.1788061476,Ghoul
0.0134022214,0.4678312232,0.5187665554,Goblin
0.0025568182,0.8918113635,0.1056318183,Ghoul
0.0013815789,0.5800931471,0.4185252739,Ghoul
0.5817526842,0.1062673204,0.3119799954,Ghost
0.0095340909,0.7344918474,0.2559740617,Ghoul
0.3673098712,0.0841489215,0.5485412073,Goblin
0.4391086049,0.1829390571,0.377952338,Ghost
0.005246509,0.5543455047,0.4404079863,Ghoul
0.0013815789,0.5786837255,0.4199346956,Ghoul
0.007981076,0.2797351798,0.7122837442,Goblin
0.0001538462,0.6991488029,0.3006973509,Ghoul
0.0003076923,0.575272997,0.4244193107,Ghoul
0.0055985552,0.3914678219,0.6029336229,Goblin
0.9364460477,0.0,0.0635539523,Ghost
0.1029124262,0.2832964503,0.6137911235,Goblin
0.9183881732,0.0007777778,0.080834049,Ghost
0.0057819163,0.313777149,0.6804409347,Goblin
0.0005454545,0.81098439,0.1884701555,Ghoul
0.0,0.825003031,0.174996969,Ghoul
0.4471443982,0.0778824653,0.4749731366,Goblin
0.950162782,0.0325,0.017337218,Ghost
0.6413641777,0.0420582161,0.3165776062,Ghost
0.1339436306,0.306270693,0.5597856763,Goblin
0.9868890425,0.0006,0.0125109575,Ghost
0.9109398858,0.0,0.0890601142,Ghost
1.0,0.0,0.0,Ghost
0.914355702,0.001,0.084644298,Ghost
0.007981076,0.2796856848,0.7123332392,Goblin
0.3940433214,0.0689985488,0.5369581299,Goblin
0.9121523346,0.0,0.0878476654,Ghost
0.9100853955,0.0007777778,0.0891368268,Ghost
0.4811519642,0.0264713381,0.4923766977,Goblin
0.4910601232,0.0241002218,0.484839655,Ghost
0.002,0.4532596862,0.5447403138,Goblin
0.4597488152,0.0532577201,0.4869934647,Goblin
0.0034545455,0.577093602,0.4194518526,Ghoul
0.0284982295,0.3520424924,0.619459278,Goblin
0.002,0.4214802083,0.5765197917,Goblin
0.2663364026,0.1456150294,0.588048568,Goblin
0.01075,0.9069417112,0.0823082888,Ghoul
0.0001538462,0.8043772326,0.1954689213,Ghoul
0.0003076923,0.575272997,0.4244193107,Ghoul
0.6328446447,0.083012408,0.2841429474,Ghost
0.0025568182,0.8951739128,0.1022692691,Ghoul
0.0006315789,0.7687758306,0.2305925904,Ghoul
0.5395937221,0.0269515353,0.4334547425,Ghost
0.4584335165,0.0239121099,0.5176543736,Goblin
0.285554106,0.1055169892,0.6089289049,Goblin
0.0373005725,0.2381065584,0.7245928691,Goblin
0.0011428571,0.9671344161,0.0317227268,Ghoul
0.5538269073,0.0238323397,0.4223407529,Ghost
0.468929673,0.0222425414,0.5088277856,Goblin
0.0065429161,0.3421827614,0.6512743225,Goblin
0.0,0.9798799534,0.0201200466,Ghoul
0.9167679308,0.0032857143,0.0799463549,Ghost
0.0001111111,0.436932975,0.5629559139,Goblin
0.4155536441,0.0668807361,0.5175656198,Goblin
0.9123065525,0.0,0.0876934475,Ghost
0.0,0.4578878264,0.5421121736,Goblin
0.0,0.9555774902,0.0444225098,Ghoul
0.9440668202,0.0325,0.0234331798,Ghost
0.9556707185,0.0325,0.0118292815,Ghost
0.91216408,0.0032857143,0.0845502057,Ghost
0.11665,0.7698878651,0.1134621349,Ghoul
0.0087159091,0.7508891203,0.2403949706,Ghoul
0.9114063169,0.0022857143,0.0863079688,Ghost
0.0405530038,0.2875523473,0.6718946489,Goblin
0.007981076,0.2796856848,0.7123332392,Goblin
0.0,0.9849673669,0.0150326331,Ghoul
0.4965151343,0.0210499595,0.4824349062,Ghost
0.0031824176,0.3676283054,0.629189277,Goblin
0.0014,0.9349774902,0.0636225098,Ghoul
0.0003076923,0.367455971,0.6322363367,Goblin
0.1479201776,0.2871416887,0.5649381337,Goblin
